"first_score","signed_gap","absolute_gap"
60,-16,17.0174827609961
60.5,-15.8,16.8545180085404
61,-15.6,16.6926710900763
61.5,-15.4,16.5319666471391
62,-15.2,16.372429540172
62.5,-15,16.2140848393309
63,-14.8,16.0569578149129
63.5,-14.6,15.9010739274132
64,-14.4,15.7464588172119
64.5,-14.2,15.593138293895
65,-14,15.4411383252147
65.5,-13.8,15.290485025694
66,-13.6,15.1412046448797
66.5,-13.4,14.993323555252
67,-13.2,14.8468682397967
67.5,-13,14.7018652792475
68,-12.8,14.558341339006
68.5,-12.6,14.416323155749
69,-12.4,14.2758375237321
69.5,-12.2,14.1369112807984
70,-12,13.9995712941045
70.5,-11.8,13.8638444455733
71,-11.6,13.7297576170864
71.5,-11.4,13.5973376754272
72,-11.2,13.4666114569878
72.5,-11,13.337605752254
73,-10.8,13.2103472900801
73.5,-10.6,13.0848627217699
74,-10.4,12.961178604977
74.5,-10.2,12.839321387441
75,-10,12.7193173905744
75.5,-9.8,12.6011927929171
76,-9.6,12.4849736134744
76.5,-9.4,12.3706856949559
77,-9.2,12.258354686933
77.5,-9,12.1480060289317
78,-8.8,12.03966493348
78.5,-8.6,11.9333563691272
79,-8.4,11.8291050434546
79.5,-8.2,11.7269353860958
80,-8,11.6268715317857
80.5,-7.8,11.5289373034585
81,-7.6,11.4331561954126
81.5,-7.4,11.3395513565633
82,-7.2,11.2481455738021
82.5,-7,11.158961255483
83,-6.8,11.0720204150546
83.5,-6.6,10.987344654859
84,-6.4,10.9049551501169
84.5,-6.2,10.8248726331168
85,-6,10.7471173776313
85.5,-5.8,10.6717091835768
86,-5.6,10.598667361937
86.5,-5.4,10.52801071997
87,-5.2,10.4597575467166
87.5,-5,10.3939255988292
88,-4.8,10.3305320867389
88.5,-4.6,10.2695936611796
89,-4.4,10.2111264000859
89.5,-4.2,10.1551457958817
90,-4,10.1016667431777
90.5,-3.8,10.0507035268924
91,-3.6,10.002269810813
91.5,-3.4,9.95637862661235
92,-3.2,9.91304236333457
92.5,-3,9.87227275736592
93,-2.8,9.83408088290251
93.5,-2.6,9.79847714292877
94,-2.4,9.76547126071864
94.5,-2.2,9.73507227187096
95,-2,9.70728851689017
95.5,-1.8,9.68212763432221
96,-1.6,9.65959655445519
96.5,-1.4,9.63970149359351
97,-1.2,9.62244794891315
97.5,-1,9.60784069390545
98,-0.8,9.59588377441544
98.5,-0.6,9.58658050528038
99,-0.4,9.57993346757312
99.5,-0.2,9.57594450645399
100,0,9.57461472963439
100.5,0.2,9.57594450645399
101,0.4,9.57993346757312
101.5,0.6,9.58658050528038
102,0.8,9.59588377441544
102.5,1,9.60784069390545
103,1.2,9.62244794891315
103.5,1.4,9.63970149359351
104,1.6,9.65959655445519
104.5,1.8,9.68212763432221
105,2,9.70728851689017
105.5,2.2,9.73507227187096
106,2.4,9.76547126071864
106.5,2.6,9.79847714292877
107,2.8,9.83408088290251
107.5,3,9.87227275736592
108,3.2,9.91304236333457
108.5,3.4,9.95637862661235
109,3.6,10.002269810813
109.5,3.8,10.0507035268924
110,4,10.1016667431777
110.5,4.2,10.1551457958817
111,4.4,10.2111264000859
111.5,4.6,10.2695936611796
112,4.8,10.3305320867389
112.5,5,10.3939255988292
113,5.2,10.4597575467166
113.5,5.4,10.52801071997
114,5.6,10.598667361937
114.5,5.8,10.6717091835768
115,6,10.7471173776313
115.5,6.2,10.8248726331168
