"rho","absolute","range"
0,16.9256875064327,34.8889342092156
0.005,16.8833202622465,34.8016025723486
0.01,16.840846433293,34.7140512322089
0.015,16.7982652110845,34.6262785222604
0.02,16.7555757768602,34.5382827547907
0.025,16.7127773014026,34.4500622205331
0.03,16.6698689448492,34.3616151882784
0.035,16.6268498565008,34.2729399044793
0.04,16.5837191746241,34.1840345928443
0.045,16.5404760262505,34.0948974539226
0.05,16.4971195269702,34.0055266646795
0.055,16.4536487807208,33.9159203780607
0.06,16.4100628795714,33.8260767225476
0.065,16.3663609035014,33.7359938017009
0.07,16.3225419201739,33.6456696936935
0.075,16.2786049847033,33.5551024508323
0.08,16.234549139418,33.4642900990679
0.085,16.1903734136169,33.373230637493
0.09,16.1460768233192,33.2819220378275
0.095,16.1016583710094,33.1903622438917
0.1,16.0571170453749,33.098549171066
0.105,16.0124518210374,33.0064807057372
0.11,15.9676616582772,32.9141547047304
0.115,15.9227455027514,32.8215689947274
0.12,15.8777022852037,32.7287213716695
0.125,15.8325309211678,32.6356096001454
0.13,15.7872303106627,32.5422314127631
0.135,15.7417993378801,32.448584509506
0.14,15.6962368708635,32.3546665570715
0.145,15.6505417611796,32.2604751881928
0.15,15.6047128435803,32.166008000943
0.155,15.5587489356559,32.07126255802
0.16,15.5126488374792,31.9762363860129
0.165,15.4664113312403,31.880926974649
0.17,15.4200351808707,31.7853317760194
0.175,15.3735191316583,31.6894482037847
0.18,15.3268619098509,31.5932736323585
0.185,15.2800622222493,31.4968053960684
0.19,15.2331187557894,31.400040788294
0.195,15.186030177112,31.3029770605809
0.2,15.138795132121,31.2056114217296
0.205,15.091412245529,31.1079410368591
0.21,15.0438801203903,31.0099630264441
0.215,14.9961973376202,30.9116744653239
0.22,14.9483624555006,30.8130723816837
0.225,14.9003740091715,30.7141537560064
0.23,14.8522305101075,30.6149155199934
0.235,14.803930445579,30.5153545554538
0.24,14.7554722780978,30.415467693162
0.245,14.706854444846,30.3152517116798
0.25,14.6580753570876,30.2147033361446
0.255,14.6091333995632,30.1138192370207
0.26,14.5600269298654,30.0125960288123
0.265,14.5107542777961,29.9110302687388
0.27,14.4613137447035,29.8091184553675
0.275,14.4117036027988,29.706857027206
0.28,14.3619220944516,29.6042423612492
0.285,14.3119674314634,29.5012707714821
0.29,14.2618377943182,29.3979385073347
0.295,14.2115313314088,29.2942417520877
0.3,14.1610461582394,29.1901766212279
0.305,14.1103803566013,29.0857391607504
0.31,14.0595319737228,28.9809253454049
0.315,14.0084990213908,28.8757310768863
0.32,13.9572794750438,28.7701521819642
0.325,13.9058712728348,28.6641844105516
0.33,13.8542723146626,28.5578234337078
0.335,13.8024804611707,28.4510648415759
0.34,13.7504935327126,28.3439041412485
0.345,13.6983093082812,28.2363367545616
0.35,13.6459255244017,28.1283580158127
0.355,13.5933398739857,28.0199631693987
0.36,13.5405500051462,27.9111473673725
0.365,13.4875535199693,27.8019056669126
0.37,13.4343479732442,27.6922330277035
0.375,13.3809308711458,27.5821243092217
0.38,13.3272996698714,27.4715742679244
0.385,13.2734517742269,27.3605775543355
0.39,13.2193845361613,27.2491287100255
0.395,13.1650952532473,27.1372221644784
0.4,13.1105811671049,27.0248522318436
0.405,13.0558394617665,26.9120131075642
0.41,13.0008672619788,26.7986988648784
0.415,12.9456616314411,26.6849034511868
0.42,12.8902195709747,26.5706206842799
0.425,12.8345380166219,26.4558442484191
0.43,12.7786138376697,26.3405676902632
0.435,12.7224438345963,26.2247844146346
0.44,12.6660247369343,26.1084876801163
0.445,12.609353201049,25.9916705944714
0.45,12.552425807826,25.8743261098765
0.455,12.4952390602641,25.7564470179596
0.46,12.4377893809681,25.6380259446332
0.465,12.3800731095376,25.5190553447108
0.47,12.3220864998452,25.3995274962968
0.475,12.2638257171994,25.279434494938
0.48,12.2052868353847,25.1587682475233
0.485,12.1464658335743,25.037520465919
0.49,12.0873585931071,24.9156826603253
0.495,12.0279608941222,24.7932461323394
0.5,11.968268412043,24.6702019677077
0.505,11.9082767139028,24.5465410287521
0.51,11.8479812545029,24.4222539464509
0.515,11.7873773723939,24.2973311121543
0.52,11.7264602856701,24.1717626689157
0.525,11.6652250875656,24.0455385024148
0.53,11.6036667418426,23.9186482314498
0.535,11.5417800779566,23.7910811979734
0.54,11.4795597859887,23.6628264566448
0.545,11.4170004113279,23.5338727638698
0.55,11.3540963490907,23.4042085662972
0.555,11.2908418382603,23.273821988738
0.56,11.2272309555287,23.1427008214726
0.565,11.1632576088234,23.0108325069067
0.57,11.0989155304979,22.8782041255348
0.575,11.0341982701644,22.7448023811675
0.58,10.9690991871472,22.6106135853738
0.585,10.9036114425288,22.4756236410876
0.59,10.8377279907653,22.3398180253228
0.595,10.7714415708387,22.2031817709369
0.6,10.7047446969166,22.0656994473774
0.605,10.6376296484855,21.9273551403427
0.61,10.5700884599189,21.7881324302805
0.615,10.5021129094427,21.6480143696406
0.62,10.4336945074531,21.5069834587952
0.625,10.3648244841401,21.3650216205277
0.63,10.2954937763665,21.2221101729856
0.635,10.2256930137461,21.0782298009834
0.64,10.1554125038596,20.9333605255294
0.645,10.084642216545,20.7874816714415
0.65,10.0133717671868,20.6405718329033
0.655,9.94159039892848,20.4926088367969
0.66,9.86928696371931,20.3435697036359
0.665,9.79644990210295,20.1934306059029
0.67,9.72306722164286,20.0421668235783
0.675,9.64912647387103,19.8897526966241
0.68,9.57461472963438,19.7361615741661
0.685,9.49951855270069,19.5813657600872
0.69,9.42382397147133,19.4253364547192
0.695,9.34751644863225,19.268043692284
0.7,9.27058084855655,19.109456273701
0.705,9.19300140225141,18.9495416943317
0.71,9.11476166961975,18.7882660661899
0.715,9.03584449878053,18.6255940340884
0.72,8.95623198216277,18.4614886851357
0.725,8.8759054090548,18.2959114509258
